Key,Boundary,Intended-Centre
iso-enter-bottom-centre-y,-4.90705,-7.65534
iso-enter-bottom-right-y,-4.90705,-7.65534
iso-enter-middle-centre-y,-8.70904,-10.4996
iso-enter-middle-right-y,-8.70904,-10.4996
iso-enter-top-centre-y,-3.00227,-3.84907
iso-enter-top-left-y,-3.00227,-3.84907
iso-enter-top-right-y,-3.00227,-3.84907
num-enter,-8.70904,-10.4996
num-plus,-4.90705,-6.701
y-off-space,-8.70904,-9.54517
y-off-r1,-8.70904,-9.54517
y-off-r2,-6.80677,-7.64902
y-off-r3,-4.90705,-5.75034
y-off-r4,-3.00227,-3.84907
y-off-r5,0.0098679,-0.90000
